Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
6:1	ej6v		rc://*/ta/man/translate/writing-pronouns	קוֹלֶֽ⁠ךָ	1	The pronoun **your** refers to Micah, the prophet whom Yahweh is commanding to speak. It may be helpful to clarify this for your readers. Alternate translation: [your voice, Micah]
6:2	leo0		rc://*/ta/man/translate/figs-apostrophe	שִׁמְע֤וּ הָרִים֙ אֶת־רִ֣יב יְהוָ֔ה וְ⁠הָ⁠אֵתָנִ֖ים מֹ֣סְדֵי אָ֑רֶץ	1	Micah is speaking to the **mountains** and the **foundations of the earth**, which he knows cannot hear him. He is doing this to communicate to the people listening to him that he feels very strongly about everything in all creation hearing the case that Yahweh is bringing against them. If it would be helpful in your language, you could translate these words as if he were speaking directly to the people about the mountains and the foundations of the earth. Alternate translation: [Let all creation hear the dispute of Yahweh]
6:2	tb8n		rc://*/ta/man/translate/figs-abstractnouns	אֶת־רִ֣יב יְהוָ֔ה	1	If your language does not use an abstract noun for the idea of **dispute**, you could express the same idea in another way. Alternate translation: [Yahweh as he disputes]
6:2	o2zx		rc://*/ta/man/translate/writing-pronouns	עִם־עַמּ֔⁠וֹ	1	The pronoun **his** refers to Yahweh, and the phrase **his people** refers to the Israelites. It may be helpful to clarify this for your readers. Alternate translation: [with the Israelites, his people]
6:2	n5i6		rc://*/ta/man/translate/figs-parallelism	כִּ֣י רִ֤יב לַֽ⁠יהוָה֙ עִם־עַמּ֔⁠וֹ וְ⁠עִם־יִשְׂרָאֵ֖ל יִתְוַכָּֽח	1	These two clauses mean basically the same thing. The second emphasizes the meaning of the first by repeating the same idea with different words. If it would be helpful to your readers, you could combine them and express the emphasis in another way. Alternate translation: [for Yahweh has a dispute that he is bringing against his people, Israel]
6:2	tlpj		rc://*/ta/man/translate/figs-idiom	רִ֤יב לַֽ⁠יהוָה֙ עִם־עַמּ֔⁠וֹ	1	Micah is using **a dispute is to Yahweh** as a common expression of the culture to mean “Yahweh has a dispute.” If this phrase does not have that meaning for your readers, you could use a comparable expression from your language that does have that meaning, or you could state the meaning plainly. Alternate translation: [Yahweh has a dispute with his people]
6:3	b8dd		rc://*/ta/man/translate/writing-quotations	עַמִּ֛⁠י מֶה־עָשִׂ֥יתִי לְ⁠ךָ֖	1	This verse begins a direct quotation from Yahweh that continues through verse 5. If it would be helpful to your readers, you could mark that this is a direct quote of Yahweh as modeled in the UST.
6:3	zrcc		rc://*/ta/man/translate/figs-rquestion	מֶה־עָשִׂ֥יתִי לְ⁠ךָ֖ וּ⁠מָ֣ה הֶלְאֵתִ֑י⁠ךָ	1	Yahweh is using the question form to assert that he has done nothing to harm his people. If a speaker of your language would not use the question form for that purpose, you could translate this as a statement or as an exclamation. Alternate translation: [I have done nothing to harm you or to burden you!]
6:3	nwwg		rc://*/ta/man/translate/figs-explicit	עֲנֵ֥ה בִּֽ⁠י	1	By **Testify against me**, Yahweh is using the language of a court and saying that if they actually have anything to accuse him of, they should testify. The implication from the previous questions is that they have nothing to accuse him of. You could indicate this explicitly in your translation if that would be helpful to your readers. Alternate translation: [Only if I have done anything wrong can you testify against me]
6:4	hfmk		rc://*/ta/man/translate/figs-metaphor	וּ⁠מִ⁠בֵּ֥ית עֲבָדִ֖ים	1	Yahweh is speaking of Egypt as if it had been a **house** where people kept **slaves.** Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [and from where you were held as slaves]
