Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
1:3	c54r		rc://*/ta/man/translate/figs-gendernotations	בְּנֵ֣י	1	Although the term **sons** is masculine, the author is using the word in a generic sense that includes both men and women. If it would be helpful in your language, you could use a phrase that makes this clear. Alternate translation: [the children of]
1:4	xfh0		rc://*/ta/man/translate/figs-explicit	הַכֹּת֗⁠וֹ	1	The implication is that Yahweh caused the Israelites to defeat Sihon and Og under Moses’ command. You could include this information if that would be helpful to your readers. Alternate translation: [Yahweh caused the Israelites to defeat]
1:4	fivx		rc://*/ta/man/translate/writing-pronouns	הַכֹּת֗⁠וֹ	1	Here the pronoun **he** refers back to Moses in verse 3. If this is not clear for your readers, you could use the person’s name here. Alternate translation: [Moses defeated]
1:4	e5t1		rc://*/ta/man/translate/figs-explicit	אֲשֶׁר־יוֹשֵׁ֥ב בְּ⁠עַשְׁתָּרֹ֖ת בְּ⁠אֶדְרֶֽעִי	1	The implication is that King Og ruled from both **Ashtaroth** and **Edrei**. **Ashtaroth** and **Edrei** were towns that were close to each other and he lived in both places. You could include this information if that would be helpful to your readers. Alternate translation: [who ruled from Ashtaroth and Edrei]
1:5-6	t7y4		rc://*/ta/man/translate/figs-quotesinquotes	הוֹאִ֣יל מֹשֶׁ֔ה בֵּאֵ֛ר אֶת־הַ⁠תּוֹרָ֥ה הַ⁠זֹּ֖את לֵ⁠אמֹֽר׃ יְהוָ֧ה אֱלֹהֵ֛י⁠נוּ דִּבֶּ֥ר אֵלֵ֖י⁠נוּ בְּ⁠חֹרֵ֣ב לֵ⁠אמֹ֑ר	1	If it would be clearer in your language, you could translate this so that there is not a quotation within a quotation. Alternate translation: [Moses began explaining the law that Yahweh spoke at Horeb. Yahweh said,]
1:5	juo3		rc://*/ta/man/translate/writing-quotations	לֵ⁠אמֹֽר	1	Here the word **saying** introduces a direct quotation. In your translation, use a natural way of introducing direct quotations in your language. It may not be necessary to represent this term explicitly.
1:6	pxpo		rc://*/ta/man/translate/figs-possession	יְהוָ֧ה אֱלֹהֵ֛י⁠נוּ	1	By using this possessive form, **our God**, Moses is not saying that the Israelites possess or control Yahweh. Rather Moses is using these words to indicate that Yahweh is the God whom the Israelites worship. Alternate translation: [Yahweh, the God whom we worship]
1:6	xp9x		rc://*/ta/man/translate/translate-names	בְּ⁠חֹרֵ֣ב	1	**Horeb** is the name of the mountain which is also known as Mount Sinai. You could add a footnote to show that this refers to the events described in [Exodus 32](../../exo/32/01.md).
1:7	l6np		rc://*/ta/man/translate/figs-idiom	פְּנ֣וּ ׀ וּ⁠סְע֣וּ לָ⁠כֶ֗ם	1	Yahweh is using **Turn** as a common expression of his culture to mean to “start” or “begin” an action. He is not telling them to change directions. If this phrase does not have that meaning for your readers, you could use a comparable expression from your language that does have that meaning, or you could state the meaning plainly. Alternate translation: [Start your journey]
1:7	cwjt		rc://*/ta/man/translate/figs-explicitinfo	וּ⁠סְע֣וּ לָ⁠כֶ֗ם	1	The expression **and journey yourselves** contains extra information that would be unnatural to express in some languages. If this is true of your language, you could shorten the expression. Alternate translation: [and journey]
1:7	cqqw		rc://*/ta/man/translate/figs-metaphor	שְׁכֵנָי⁠ו֒	1	Here, **neighbors** refers to any people groups in the nearby areas. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [the people groups near them]
1:8	bp4f		rc://*/ta/man/translate/figs-metaphor	רְאֵ֛ה	1	Yahweh is using the term **Look** to focus the Israelites’ attention on what he is about to say. Your language may have a comparable expression that you could use in your translation. Alternate translation: [Do not forget]
1:8	tgax		rc://*/ta/man/translate/figs-metonymy	לִ⁠פְנֵי⁠כֶ֖ם	1	Here, **faces** represents what is in front of the Israelites. If it would be helpful in your language, you could use an equivalent expression from your language or state the meaning plainly. Alternate translation: [to you that is before you]
1:8	p2mn		rc://*/ta/man/translate/figs-123person	נִשְׁבַּ֣ע יְ֠הוָה	1	Yahweh is speaking about himself in the third person. If this would not be natural in your language, you could use the first person form. Alternate translation: [I swore]
