Reference	ID	Tags	OrigWords	Occurrence	TWLink
5:2	k84g	keyterm	מוֹשֵׁ֖ל	1	rc://*/tw/dict/bible/other/ruler
5:2	drjs	keyterm	בְּ⁠יִשְׂרָאֵ֑ל	1	rc://*/tw/dict/bible/kt/israel
5:2	ta28	keyterm	עוֹלָֽם	1	rc://*/tw/dict/bible/kt/eternity
5:3	qywi		יוֹלֵדָ֖ה	1	rc://*/tw/dict/bible/other/bear
5:3	frh5	keyterm	יִשְׂרָאֵֽל	1	rc://*/tw/dict/bible/kt/israel
5:4	baes		וְ⁠רָעָה֙	1	rc://*/tw/dict/bible/other/shepherd
5:4	jx4z	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
5:4	qaxr	keyterm	בִּ⁠גְא֕וֹן	1	rc://*/tw/dict/bible/kt/majesty
5:4	nm2w	keyterm	יְהוָ֣ה	1	rc://*/tw/dict/bible/kt/yahweh
5:4	x39c	keyterm	אֱלֹהָ֑י⁠ו	1	rc://*/tw/dict/bible/kt/god
5:4	upab		אָֽרֶץ	1	rc://*/tw/dict/bible/other/earth
5:5	yv2v		שָׁל֑וֹם	1	rc://*/tw/dict/bible/other/peace
5:5	sun9	name	אַשּׁ֣וּר	1	rc://*/tw/dict/bible/names/assyria
5:5	t4eb		בְ⁠אַרְצֵ֗⁠נוּ	1	rc://*/tw/dict/bible/other/earth
5:5	mwi3		בְּ⁠אַרְמְנֹתֵ֔י⁠נוּ	1	rc://*/tw/dict/bible/other/stronghold
5:5	gzfa		רֹעִ֔ים	1	rc://*/tw/dict/bible/other/shepherd
5:5	auvw		נְסִיכֵ֥י	1	rc://*/tw/dict/bible/other/prince
5:6	fndh		וְ⁠רָע֞וּ	1	rc://*/tw/dict/bible/other/shepherd
5:6	bgra		אֶת־אֶ֤רֶץ	1	rc://*/tw/dict/bible/other/earth
5:6	qjd2	name	אַשּׁוּר֙	1	rc://*/tw/dict/bible/names/assyria
5:6	n5uz		בַּ⁠חֶ֔רֶב	1	rc://*/tw/dict/bible/other/sword
5:6	zjny		וְ⁠הִצִּיל֙	1	rc://*/tw/dict/bible/other/deliverer
5:7	k7gf	keyterm	שְׁאֵרִ֣ית	1	rc://*/tw/dict/bible/kt/remnant
5:7	q8nr	name	יַעֲקֹ֗ב	1	rc://*/tw/dict/bible/names/jacob
5:7	t2p5	keyterm	מֵ⁠אֵ֣ת יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
5:7	jfrh	keyterm	וְ⁠לֹ֥א יְיַחֵ֖ל	1	rc://*/tw/dict/bible/kt/hope
5:8	pstd	keyterm	שְׁאֵרִ֨ית	1	rc://*/tw/dict/bible/kt/remnant
5:8	j587	name	יַעֲקֹ֜ב	1	rc://*/tw/dict/bible/names/jacob
5:8	tf8s		בַּ⁠גּוֹיִ֗ם	1	rc://*/tw/dict/bible/other/nation
5:8	tt87		כְּ⁠אַרְיֵה֙	1	rc://*/tw/dict/bible/other/lion
5:8	csf5		בְּ⁠עֶדְרֵי	1	rc://*/tw/dict/bible/other/flock
5:8	rvgf		צֹ֑אן	1	rc://*/tw/dict/bible/other/sheep
5:8	shby		וְ⁠רָמַ֥ס	1	rc://*/tw/dict/bible/other/trample
5:8	hy54		מַצִּֽיל	1	rc://*/tw/dict/bible/other/deliverer
5:9	sspz		צָרֶ֑י⁠ךָ	1	rc://*/tw/dict/bible/other/adversary
5:9	wj5z		אֹיְבֶ֖י⁠ךָ	1	rc://*/tw/dict/bible/other/adversary
5:10	rtbe	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
5:10	hhht		סוּסֶ֖י⁠ךָ	1	rc://*/tw/dict/bible/other/horse
5:10	qtdk		וְ⁠הַאֲבַדְתִּ֖י	1	rc://*/tw/dict/bible/other/destroyer
5:10	rzxs		מַרְכְּבֹתֶֽי⁠ךָ	1	rc://*/tw/dict/bible/other/chariot
5:11	kkyb		אַרְצֶ֑⁠ךָ	1	rc://*/tw/dict/bible/other/earth
5:11	ft7j		מִבְצָרֶֽי⁠ךָ	1	rc://*/tw/dict/bible/other/stronghold
5:12	picm		כְשָׁפִ֖ים	1	rc://*/tw/dict/bible/other/sorcery
5:12	at6p		וּֽ⁠מְעוֹנְנִ֖ים	1	rc://*/tw/dict/bible/other/divination
5:13	k6ny	keyterm	פְסִילֶ֛י⁠ךָ	1	rc://*/tw/dict/bible/other/image
5:13	zufe	keyterm	וּ⁠מַצֵּבוֹתֶ֖י⁠ךָ	1	rc://*/tw/dict/bible/other/pillar
5:13	ip3x	keyterm	תִשְׁתַּחֲוֶ֥ה	1	rc://*/tw/dict/bible/kt/worship
5:14	fqp6	name	אֲשֵׁירֶ֖י⁠ךָ	1	rc://*/tw/dict/bible/names/asherim
5:14	c6kr		וְ⁠הִשְׁמַדְתִּ֖י	1	rc://*/tw/dict/bible/other/destroyer
5:15	dj4t	keyterm	וּ⁠בְ⁠חֵמָ֛ה	1	rc://*/tw/dict/bible/kt/wrath
5:15	jzfg		נָקָ֖ם	1	rc://*/tw/dict/bible/other/avenge
5:15	uy8s		אֶת־הַ⁠גּוֹיִ֑ם	1	rc://*/tw/dict/bible/other/nation
6:1	dp44		נָ֕א	1	rc://*/tw/dict/bible/other/plead
6:1	bkjx	keyterm	יְהוָ֖ה	1	rc://*/tw/dict/bible/kt/yahweh
6:2	ywdy	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
6:2	q2g8		אָ֑רֶץ	1	rc://*/tw/dict/bible/other/earth
6:2	j34z	keyterm	לַֽ⁠יהוָה֙	1	rc://*/tw/dict/bible/kt/yahweh
6:2	ve8f	keyterm	וְ⁠עִם־יִשְׂרָאֵ֖ל	1	rc://*/tw/dict/bible/kt/israel
6:3	j8ug	keyterm	עֲנֵ֥ה	1	rc://*/tw/dict/bible/kt/testimony
6:4	ecad	name	מִצְרַ֔יִם	1	rc://*/tw/dict/bible/names/egypt
6:4	y82z		עֲבָדִ֖ים	1	rc://*/tw/dict/bible/other/enslave
6:4	v6p5	keyterm	פְּדִיתִ֑י⁠ךָ	1	rc://*/tw/dict/bible/kt/redeem
6:4	xd6k	name	אֶת־מֹשֶׁ֖ה	1	rc://*/tw/dict/bible/names/moses
6:4	usue	name	אַהֲרֹ֥ן	1	rc://*/tw/dict/bible/names/aaron
6:4	m5qn	name	וּ⁠מִרְיָֽם	1	rc://*/tw/dict/bible/names/miriam
6:5	czvq		נָא֙	1	rc://*/tw/dict/bible/other/plead
6:5	rybm		מֶ֣לֶךְ	1	rc://*/tw/dict/bible/other/king
6:5	urzz	name	מוֹאָ֔ב	1	rc://*/tw/dict/bible/names/moab
6:5	s3wy		יָּעַ֗ץ	1	rc://*/tw/dict/bible/other/counselor
6:5	pqq2	name	בִּלְעָ֣ם	1	rc://*/tw/dict/bible/names/balaam
6:5	rift	name	הַ⁠גִּלְגָּ֔ל	1	rc://*/tw/dict/bible/names/gilgal
6:5	c39v		דַּ֖עַת	1	rc://*/tw/dict/bible/other/know
6:5	qieq	keyterm	צִדְק֥וֹת	1	rc://*/tw/dict/bible/kt/righteous
6:5	c89c	keyterm	יְהוָֽה	1	rc://*/tw/dict/bible/kt/yahweh
6:6	nws3	keyterm	יְהוָ֔ה	1	rc://*/tw/dict/bible/kt/yahweh
6:6	ud96	keyterm	אִכַּ֖ף	1	rc://*/tw/dict/bible/kt/worship
6:6	qj2u	keyterm	לֵ⁠אלֹהֵ֣י	1	rc://*/tw/dict/bible/kt/god
6:6	wx5a		בְ⁠עוֹל֔וֹת	1	rc://*/tw/dict/bible/other/sacrifice
